dataset_id,isolate_id,antibiotic,callable,callable_binary,final_qc_status,contigs,assembly_size_bp,n50_bp,log10_n50_bp,longest_contig_bp,completeness_percent,contamination_percent
CHINA_NINGXIA_2022,SHZY49,clarithromycin,no,0,PASS,31,1550265,79350,4.899546931090867,213316,99.95,0.0
CHINA_NINGXIA_2022,SHZY49,levofloxacin,yes,1,PASS,31,1550265,79350,4.899546931090867,213316,99.95,0.0
CHINA_NINGXIA_2022,SHZY50,clarithromycin,no,0,PASS,16,1552437,115003,5.060709169627106,430132,100.0,0.1
CHINA_NINGXIA_2022,SHZY50,levofloxacin,yes,1,PASS,16,1552437,115003,5.060709169627106,430132,100.0,0.1
CHINA_NINGXIA_2022,SHZY51,clarithromycin,no,0,PASS,21,1572998,119798,5.078449567667532,347155,99.98,0.0
CHINA_NINGXIA_2022,SHZY51,levofloxacin,yes,1,PASS,21,1572998,119798,5.078449567667532,347155,99.98,0.0
CHINA_NINGXIA_2022,SHZY52,clarithromycin,no,0,PASS,26,1543625,75612,4.878590725662751,240948,99.99,0.0
CHINA_NINGXIA_2022,SHZY52,levofloxacin,yes,1,PASS,26,1543625,75612,4.878590725662751,240948,99.99,0.0
CHINA_NINGXIA_2022,SHZY53,clarithromycin,no,0,PASS,28,1521966,70171,4.846157665660743,314703,99.93,0.0
CHINA_NINGXIA_2022,SHZY53,levofloxacin,yes,1,PASS,28,1521966,70171,4.846157665660743,314703,99.93,0.0
CHINA_NINGXIA_2022,SHZY54,clarithromycin,no,0,PASS,29,1611499,102687,5.011515466132567,359622,99.99,0.07
CHINA_NINGXIA_2022,SHZY54,levofloxacin,yes,1,PASS,29,1611499,102687,5.011515466132567,359622,99.99,0.07
CHINA_NINGXIA_2022,SHZY55,clarithromycin,no,0,PASS,28,1565253,94829,4.976941170818951,302415,99.98,0.09
CHINA_NINGXIA_2022,SHZY55,levofloxacin,yes,1,PASS,28,1565253,94829,4.976941170818951,302415,99.98,0.09
CHINA_NINGXIA_2022,SHZY56,clarithromycin,no,0,FAIL,94,1603341,20543,4.312663866150631,67568,91.49,10.11
CHINA_NINGXIA_2022,SHZY56,levofloxacin,no,0,FAIL,94,1603341,20543,4.312663866150631,67568,91.49,10.11
CHINA_NINGXIA_2022,SHZY57,clarithromycin,yes,1,PASS,27,1606565,80104,4.903654203157319,204316,99.99,0.0
CHINA_NINGXIA_2022,SHZY57,levofloxacin,yes,1,PASS,27,1606565,80104,4.903654203157319,204316,99.99,0.0
CHINA_NINGXIA_2022,SHZY58,clarithromycin,no,0,FAIL,110,1587876,18596,4.269419537511049,56303,86.22,14.21
CHINA_NINGXIA_2022,SHZY58,levofloxacin,no,0,FAIL,110,1587876,18596,4.269419537511049,56303,86.22,14.21
CHINA_NINGXIA_2022,SHZY59,clarithromycin,no,0,PASS,25,1575531,144053,5.15852230718345,234013,99.98,0.01
CHINA_NINGXIA_2022,SHZY59,levofloxacin,yes,1,PASS,25,1575531,144053,5.15852230718345,234013,99.98,0.01
CHINA_NINGXIA_2022,SHZY60,clarithromycin,no,0,PASS,22,1582057,110467,5.043232559845933,377491,99.99,0.53
CHINA_NINGXIA_2022,SHZY60,levofloxacin,yes,1,PASS,22,1582057,110467,5.043232559845933,377491,99.99,0.53
HPGP_GLOBAL,ALG-001,clarithromycin,yes,1,PASS,1,1631355,1631355,6.2125484783700475,1631355,99.99,0.16
HPGP_GLOBAL,ALG-001,levofloxacin,yes,1,PASS,1,1631355,1631355,6.2125484783700475,1631355,99.99,0.16
HPGP_GLOBAL,ALG-002,clarithromycin,yes,1,PASS,1,1636597,1636597,6.213941750747789,1636597,99.99,0.08
HPGP_GLOBAL,ALG-002,levofloxacin,yes,1,PASS,1,1636597,1636597,6.213941750747789,1636597,99.99,0.08
HPGP_GLOBAL,ALG-003,clarithromycin,yes,1,PASS,1,1653596,1653596,6.218429413074947,1653596,100.0,0.05
HPGP_GLOBAL,ALG-003,levofloxacin,yes,1,PASS,1,1653596,1653596,6.218429413074947,1653596,100.0,0.05
HPGP_GLOBAL,ALG-004,clarithromycin,yes,1,PASS,1,1636089,1636089,6.213806924737241,1636089,99.99,0.17
HPGP_GLOBAL,ALG-004,levofloxacin,yes,1,PASS,1,1636089,1636089,6.213806924737241,1636089,99.99,0.17
HPGP_GLOBAL,ALG-005,clarithromycin,yes,1,PASS,1,1563520,1563520,6.194103440957324,1563520,99.99,0.01
HPGP_GLOBAL,ALG-005,levofloxacin,yes,1,PASS,1,1563520,1563520,6.194103440957324,1563520,99.99,0.01
HPGP_GLOBAL,ALG-007,clarithromycin,yes,1,PASS,1,1612412,1612412,6.2074760216283655,1612412,99.99,0.0
HPGP_GLOBAL,ALG-007,levofloxacin,yes,1,PASS,1,1612412,1612412,6.2074760216283655,1612412,99.99,0.0
HPGP_GLOBAL,ALG-008,clarithromycin,yes,1,PASS,1,1641827,1641827,6.215327393402408,1641827,100.0,0.2
HPGP_GLOBAL,ALG-008,levofloxacin,yes,1,PASS,1,1641827,1641827,6.215327393402408,1641827,100.0,0.2
HPGP_GLOBAL,ALG-009,clarithromycin,yes,1,PASS,1,1584247,1584247,6.199822893398868,1584247,99.99,0.03
HPGP_GLOBAL,ALG-009,levofloxacin,yes,1,PASS,1,1584247,1584247,6.199822893398868,1584247,99.99,0.03
HPGP_GLOBAL,ALG-010,clarithromycin,yes,1,PASS,1,1629562,1629562,6.212070888732209,1629562,99.99,0.08
HPGP_GLOBAL,ALG-010,levofloxacin,yes,1,PASS,1,1629562,1629562,6.212070888732209,1629562,99.99,0.08
HPGP_GLOBAL,ARG-001,clarithromycin,yes,1,PASS,1,1624657,1624657,6.210761686095919,1624657,99.99,0.18
HPGP_GLOBAL,ARG-001,levofloxacin,yes,1,PASS,1,1624657,1624657,6.210761686095919,1624657,99.99,0.18
HPGP_GLOBAL,ARG-002,clarithromycin,yes,1,PASS,1,1639097,1639097,6.214604655411999,1639097,100.0,0.28
HPGP_GLOBAL,ARG-002,levofloxacin,yes,1,PASS,1,1639097,1639097,6.214604655411999,1639097,100.0,0.28
HPGP_GLOBAL,ARG-003,clarithromycin,yes,1,PASS,1,1614729,1614729,6.20809964513132,1614729,99.97,0.0
HPGP_GLOBAL,ARG-003,levofloxacin,yes,1,PASS,1,1614729,1614729,6.20809964513132,1614729,99.97,0.0
HPGP_GLOBAL,ARG-004,clarithromycin,yes,1,PASS,1,1564050,1564050,6.194250632596591,1564050,99.99,0.16
HPGP_GLOBAL,ARG-004,levofloxacin,yes,1,PASS,1,1564050,1564050,6.194250632596591,1564050,99.99,0.16
HPGP_GLOBAL,ARG-005,clarithromycin,yes,1,PASS,1,1621840,1621840,6.210008007369242,1621840,99.99,0.38
HPGP_GLOBAL,ARG-005,levofloxacin,yes,1,PASS,1,1621840,1621840,6.210008007369242,1621840,99.99,0.38
HPGP_GLOBAL,ARG-006,clarithromycin,yes,1,PASS,1,1616607,1616607,6.208604454986342,1616607,99.98,0.02
HPGP_GLOBAL,ARG-006,levofloxacin,yes,1,PASS,1,1616607,1616607,6.208604454986342,1616607,99.98,0.02
HPGP_GLOBAL,ARG-007,clarithromycin,yes,1,PASS,1,1696855,1696855,6.22964473248245,1696855,99.98,0.44
HPGP_GLOBAL,ARG-007,levofloxacin,yes,1,PASS,1,1696855,1696855,6.22964473248245,1696855,99.98,0.44
HPGP_GLOBAL,ARG-008,clarithromycin,yes,1,PASS,1,1610666,1610666,6.207005491135726,1610666,99.99,0.0
HPGP_GLOBAL,ARG-008,levofloxacin,yes,1,PASS,1,1610666,1610666,6.207005491135726,1610666,99.99,0.0
HPGP_GLOBAL,ARG-009,clarithromycin,yes,1,PASS,1,1600015,1600015,6.2041240541476075,1600015,99.98,0.0
HPGP_GLOBAL,ARG-009,levofloxacin,yes,1,PASS,1,1600015,1600015,6.2041240541476075,1600015,99.98,0.0
HPGP_GLOBAL,ARG-010,clarithromycin,yes,1,PASS,1,1612084,1612084,6.207387667609284,1612084,99.99,0.08
HPGP_GLOBAL,ARG-010,levofloxacin,yes,1,PASS,1,1612084,1612084,6.207387667609284,1612084,99.99,0.08
HPGP_GLOBAL,BRA-002,clarithromycin,yes,1,PASS,1,1649978,1649978,6.21747815358221,1649978,100.0,0.01
HPGP_GLOBAL,BRA-002,levofloxacin,yes,1,PASS,1,1649978,1649978,6.21747815358221,1649978,100.0,0.01
HPGP_GLOBAL,BRA-006,clarithromycin,yes,1,PASS,1,1674090,1674090,6.223778802195292,1674090,99.99,0.8
HPGP_GLOBAL,BRA-006,levofloxacin,yes,1,PASS,1,1674090,1674090,6.223778802195292,1674090,99.99,0.8
HPGP_GLOBAL,BRA-009,clarithromycin,yes,1,PASS,1,1570607,1570607,6.1960675287170925,1570607,99.99,0.17
HPGP_GLOBAL,BRA-009,levofloxacin,yes,1,PASS,1,1570607,1570607,6.1960675287170925,1570607,99.99,0.17
HPGP_GLOBAL,BRA-010,clarithromycin,yes,1,PASS,1,1676807,1676807,6.224483078313549,1676807,100.0,0.09
HPGP_GLOBAL,BRA-010,levofloxacin,yes,1,PASS,1,1676807,1676807,6.224483078313549,1676807,100.0,0.09
HPGP_GLOBAL,BRA-013,clarithromycin,yes,1,PASS,1,1686871,1686871,6.227081872079184,1686871,99.99,0.01
HPGP_GLOBAL,BRA-013,levofloxacin,yes,1,PASS,1,1686871,1686871,6.227081872079184,1686871,99.99,0.01
HPGP_GLOBAL,BRA-014,clarithromycin,yes,1,PASS,1,1691857,1691857,6.228363652594591,1691857,99.99,0.0
HPGP_GLOBAL,BRA-014,levofloxacin,yes,1,PASS,1,1691857,1691857,6.228363652594591,1691857,99.99,0.0
HPGP_GLOBAL,BRA-017,clarithromycin,yes,1,PASS,1,1611056,1611056,6.207110636675142,1611056,99.99,0.16
HPGP_GLOBAL,BRA-017,levofloxacin,yes,1,PASS,1,1611056,1611056,6.207110636675142,1611056,99.99,0.16
HPGP_GLOBAL,BRA-018,clarithromycin,yes,1,PASS,1,1660087,1660087,6.220130848660445,1660087,99.99,0.02
HPGP_GLOBAL,BRA-018,levofloxacin,yes,1,PASS,1,1660087,1660087,6.220130848660445,1660087,99.99,0.02
HPGP_GLOBAL,BRA-020,clarithromycin,yes,1,PASS,1,1622043,1622043,6.21006236307809,1622043,100.0,0.05
HPGP_GLOBAL,BRA-020,levofloxacin,yes,1,PASS,1,1622043,1622043,6.21006236307809,1622043,100.0,0.05
HPGP_GLOBAL,BRA-022,clarithromycin,yes,1,PASS,1,1633843,1633843,6.213210321774396,1633843,99.99,0.0
HPGP_GLOBAL,BRA-022,levofloxacin,yes,1,PASS,1,1633843,1633843,6.213210321774396,1633843,99.99,0.0
HPGP_GLOBAL,BRA-023,clarithromycin,yes,1,PASS,1,1636227,1636227,6.213843554841753,1636227,100.0,0.08
HPGP_GLOBAL,BRA-023,levofloxacin,yes,1,PASS,1,1636227,1636227,6.213843554841753,1636227,100.0,0.08
HPGP_GLOBAL,BRA-025,clarithromycin,yes,1,PASS,1,1658306,1658306,6.219664672082483,1658306,100.0,0.16
HPGP_GLOBAL,BRA-025,levofloxacin,yes,1,PASS,1,1658306,1658306,6.219664672082483,1658306,100.0,0.16
HPGP_GLOBAL,CHI-001,clarithromycin,yes,1,PASS,1,1641691,1641691,6.215291417324571,1641691,99.99,0.19
HPGP_GLOBAL,CHI-001,levofloxacin,yes,1,PASS,1,1641691,1641691,6.215291417324571,1641691,99.99,0.19
HPGP_GLOBAL,CHI-002,clarithromycin,yes,1,PASS,1,1619936,1619936,6.209497856890847,1619936,99.99,0.06
HPGP_GLOBAL,CHI-002,levofloxacin,yes,1,PASS,1,1619936,1619936,6.209497856890847,1619936,99.99,0.06
HPGP_GLOBAL,CHI-004,clarithromycin,yes,1,PASS,1,1648441,1648441,6.217073407752769,1648441,99.99,0.18
HPGP_GLOBAL,CHI-004,levofloxacin,yes,1,PASS,1,1648441,1648441,6.217073407752769,1648441,99.99,0.18
HPGP_GLOBAL,CHI-005,clarithromycin,yes,1,PASS,1,1663842,1663842,6.221112082900572,1663842,99.99,1.0
HPGP_GLOBAL,CHI-005,levofloxacin,yes,1,PASS,1,1663842,1663842,6.221112082900572,1663842,99.99,1.0
HPGP_GLOBAL,CHI-007,clarithromycin,yes,1,PASS,1,1605929,1605929,6.205726340699929,1605929,99.99,0.24
HPGP_GLOBAL,CHI-007,levofloxacin,yes,1,PASS,1,1605929,1605929,6.205726340699929,1605929,99.99,0.24
HPGP_GLOBAL,CHI-008,clarithromycin,yes,1,PASS,1,1609626,1609626,6.206724978513342,1609626,99.99,0.0
HPGP_GLOBAL,CHI-008,levofloxacin,yes,1,PASS,1,1609626,1609626,6.206724978513342,1609626,99.99,0.0
HPGP_GLOBAL,CHI-010,clarithromycin,yes,1,PASS,1,1639546,1639546,6.214723605980019,1639546,99.99,1.85
HPGP_GLOBAL,CHI-010,levofloxacin,yes,1,PASS,1,1639546,1639546,6.214723605980019,1639546,99.99,1.85
HPGP_GLOBAL,CHI-011,clarithromycin,yes,1,PASS,1,1710266,1710266,6.2330636620576785,1710266,100.0,0.08
HPGP_GLOBAL,CHI-011,levofloxacin,yes,1,PASS,1,1710266,1710266,6.2330636620576785,1710266,100.0,0.08
HPGP_GLOBAL,CHI-014,clarithromycin,yes,1,PASS,1,1663539,1663539,6.221032986921855,1663539,99.98,0.46
HPGP_GLOBAL,CHI-014,levofloxacin,yes,1,PASS,1,1663539,1663539,6.221032986921855,1663539,99.98,0.46
HPGP_GLOBAL,CHI-017,clarithromycin,yes,1,PASS,1,1646264,1646264,6.2164994812709145,1646264,99.99,0.18
HPGP_GLOBAL,CHI-017,levofloxacin,yes,1,PASS,1,1646264,1646264,6.2164994812709145,1646264,99.99,0.18
HPGP_GLOBAL,CHI-018,clarithromycin,yes,1,PASS,1,1672193,1672193,6.223286401092082,1672193,99.98,0.02
HPGP_GLOBAL,CHI-018,levofloxacin,yes,1,PASS,1,1672193,1672193,6.223286401092082,1672193,99.98,0.02
HPGP_GLOBAL,CHI-021,clarithromycin,yes,1,PASS,1,1703098,1703098,6.2312396389400995,1703098,99.99,0.01
HPGP_GLOBAL,CHI-021,levofloxacin,yes,1,PASS,1,1703098,1703098,6.2312396389400995,1703098,99.99,0.01
HPGP_GLOBAL,CHI-022,clarithromycin,yes,1,PASS,1,1666738,1666738,6.221867337022414,1666738,100.0,0.05
HPGP_GLOBAL,CHI-022,levofloxacin,yes,1,PASS,1,1666738,1666738,6.221867337022414,1666738,100.0,0.05
HPGP_GLOBAL,CHI-023,clarithromycin,yes,1,PASS,1,1694593,1694593,6.22906540809727,1694593,99.99,0.18
HPGP_GLOBAL,CHI-023,levofloxacin,yes,1,PASS,1,1694593,1694593,6.22906540809727,1694593,99.99,0.18
HPGP_GLOBAL,CHI-024,clarithromycin,yes,1,PASS,1,1642516,1642516,6.215509608781509,1642516,100.0,0.43
HPGP_GLOBAL,CHI-024,levofloxacin,yes,1,PASS,1,1642516,1642516,6.215509608781509,1642516,100.0,0.43
HPGP_GLOBAL,CHI-101,clarithromycin,yes,1,PASS,1,1663635,1663635,6.221058048592975,1663635,99.99,0.18
HPGP_GLOBAL,CHI-101,levofloxacin,yes,1,PASS,1,1663635,1663635,6.221058048592975,1663635,99.99,0.18
