dataset_id,isolate_id,final_qc_status,blast_task,n_hits,n_marker_spanning_hits,max_identity,max_coverage,max_spanning_identity,max_spanning_coverage,nearest_marker_distance_bp,frozen_callable,primary_caller_callable,recovery_class
CHINA_NINGXIA_2022,SHZY40,PASS,megablast,1,1,0.9872299999999999,1.0026954177897573,0.9872299999999999,1.0026954177897573,0,yes,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY40,PASS,blastn,21,1,1.0,1.0026954177897573,0.9872299999999999,1.0026954177897573,0,no,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY41,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY41,PASS,blastn,21,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY42,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY42,PASS,blastn,21,0,1.0,0.012466307277628033,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY43,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY43,PASS,blastn,15,0,1.0,0.014487870619946091,,,24,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY44,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY44,PASS,blastn,16,0,1.0,0.014487870619946091,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY45,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY45,PASS,blastn,22,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY46,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY46,PASS,blastn,15,0,1.0,0.014824797843665768,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY47,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY47,PASS,blastn,20,0,1.0,0.013814016172506738,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY48,PASS,megablast,1,1,0.98992,1.0026954177897573,0.98992,1.0026954177897573,0,yes,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY48,PASS,blastn,22,1,1.0,1.0026954177897573,0.98992,1.0026954177897573,0,no,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY49,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY49,PASS,blastn,21,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY50,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY50,PASS,blastn,19,0,1.0,0.012466307277628033,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY51,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY51,PASS,blastn,17,0,1.0,0.014824797843665768,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY52,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY52,PASS,blastn,17,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY53,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY53,PASS,blastn,19,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY54,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY54,PASS,blastn,15,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY55,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY55,PASS,blastn,17,0,1.0,0.013477088948787063,,,24,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY56,FAIL,megablast,1,0,0.9929600000000001,0.04784366576819407,,,2001,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY56,FAIL,blastn,13,0,1.0,0.04784366576819407,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY57,PASS,megablast,1,1,0.9889100000000001,1.0026954177897573,0.9889100000000001,1.0026954177897573,0,yes,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY57,PASS,blastn,18,1,1.0,1.0026954177897573,0.9889100000000001,1.0026954177897573,0,no,yes,CALLABLE_MARKER_SPANNING
CHINA_NINGXIA_2022,SHZY58,FAIL,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY58,FAIL,blastn,24,0,1.0,0.014487870619946091,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY59,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY59,PASS,blastn,15,0,1.0,0.012466307277628033,,,78,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY60,PASS,megablast,0,0,,,,,,no,no,PARTIAL_23S_NO_MARKER_SPAN
CHINA_NINGXIA_2022,SHZY60,PASS,blastn,16,0,1.0,0.014150943396226415,,,36,no,no,PARTIAL_23S_NO_MARKER_SPAN
