dataset_id,lineage_recomputed,metric,successes,total,estimate,ci_low,ci_high
HPGP_GLOBAL,SNP_CLUSTER_02,false_susceptible_rate,2,2,1.0,0.1581138830084189,1.0
HPGP_GLOBAL,SNP_CLUSTER_02,marker_negative_resistance,2,2,1.0,0.1581138830084189,1.0
HPGP_GLOBAL,SNP_CLUSTER_02,marker_positive_resistance,0,0,,,
HPGP_GLOBAL,SNP_CLUSTER_03,sensitivity,22,22,1.0,0.8456274871844254,1.0
HPGP_GLOBAL,SNP_CLUSTER_03,specificity,38,38,1.0,0.9074872385841216,1.0
HPGP_GLOBAL,SNP_CLUSTER_03,false_susceptible_rate,0,22,0.0,0.0,0.1543725128155745
HPGP_GLOBAL,SNP_CLUSTER_03,marker_negative_resistance,0,38,0.0,0.0,0.0925127614158782
HPGP_GLOBAL,SNP_CLUSTER_03,marker_positive_resistance,22,22,1.0,0.8456274871844254,1.0
HPGP_GLOBAL,SNP_CLUSTER_04,sensitivity,28,28,1.0,0.8765638814997362,1.0
HPGP_GLOBAL,SNP_CLUSTER_04,specificity,81,81,1.0,0.9554797375436782,1.0
HPGP_GLOBAL,SNP_CLUSTER_04,false_susceptible_rate,0,28,0.0,0.0,0.1234361185002638
HPGP_GLOBAL,SNP_CLUSTER_04,marker_negative_resistance,0,81,0.0,0.0,0.0445202624563217
HPGP_GLOBAL,SNP_CLUSTER_04,marker_positive_resistance,28,28,1.0,0.8765638814997362,1.0
HPGP_GLOBAL,SNP_CLUSTER_05,sensitivity,2,2,1.0,0.1581138830084189,1.0
HPGP_GLOBAL,SNP_CLUSTER_05,specificity,8,8,1.0,0.6305833524471807,1.0
HPGP_GLOBAL,SNP_CLUSTER_05,false_susceptible_rate,0,2,0.0,0.0,0.841886116991581
HPGP_GLOBAL,SNP_CLUSTER_05,marker_negative_resistance,0,8,0.0,0.0,0.3694166475528192
HPGP_GLOBAL,SNP_CLUSTER_05,marker_positive_resistance,2,2,1.0,0.1581138830084189,1.0
HPGP_GLOBAL,SNP_CLUSTER_06,sensitivity,22,22,1.0,0.8456274871844254,1.0
HPGP_GLOBAL,SNP_CLUSTER_06,specificity,43,43,1.0,0.9177888788458616,1.0
HPGP_GLOBAL,SNP_CLUSTER_06,false_susceptible_rate,0,22,0.0,0.0,0.1543725128155745
HPGP_GLOBAL,SNP_CLUSTER_06,marker_negative_resistance,0,43,0.0,0.0,0.0822111211541384
HPGP_GLOBAL,SNP_CLUSTER_06,marker_positive_resistance,22,22,1.0,0.8456274871844254,1.0
HPGP_GLOBAL,SNP_CLUSTER_07,sensitivity,7,7,1.0,0.5903836027749966,1.0
HPGP_GLOBAL,SNP_CLUSTER_07,specificity,12,12,1.0,0.7353515306029488,1.0
HPGP_GLOBAL,SNP_CLUSTER_07,false_susceptible_rate,0,7,0.0,0.0,0.4096163972250034
HPGP_GLOBAL,SNP_CLUSTER_07,marker_negative_resistance,0,12,0.0,0.0,0.2646484693970511
HPGP_GLOBAL,SNP_CLUSTER_07,marker_positive_resistance,7,7,1.0,0.5903836027749966,1.0
HPGP_GLOBAL,SNP_CLUSTER_08,sensitivity,14,14,1.0,0.7683642383498834,1.0
HPGP_GLOBAL,SNP_CLUSTER_08,specificity,13,13,1.0,0.7529473619995289,1.0
HPGP_GLOBAL,SNP_CLUSTER_08,false_susceptible_rate,0,14,0.0,0.0,0.2316357616501164
HPGP_GLOBAL,SNP_CLUSTER_08,marker_negative_resistance,0,13,0.0,0.0,0.2470526380004709
HPGP_GLOBAL,SNP_CLUSTER_08,marker_positive_resistance,14,14,1.0,0.7683642383498834,1.0
ZENODO_10369064,SNP_CLUSTER_01,sensitivity,1,1,1.0,0.025,1.0
ZENODO_10369064,SNP_CLUSTER_01,specificity,1,1,1.0,0.025,1.0
ZENODO_10369064,SNP_CLUSTER_01,false_susceptible_rate,0,1,0.0,0.0,0.975
ZENODO_10369064,SNP_CLUSTER_01,marker_negative_resistance,0,1,0.0,0.0,0.975
ZENODO_10369064,SNP_CLUSTER_01,marker_positive_resistance,1,1,1.0,0.025,1.0
ZENODO_10369064,SNP_CLUSTER_03,sensitivity,13,15,0.8666666666666667,0.5953973033966278,0.9834240865599164
ZENODO_10369064,SNP_CLUSTER_03,specificity,21,22,0.9545454545454546,0.7715556023323665,0.9988498524734264
ZENODO_10369064,SNP_CLUSTER_03,false_susceptible_rate,2,15,0.1333333333333333,0.0165759134400836,0.404602696603372
ZENODO_10369064,SNP_CLUSTER_03,marker_negative_resistance,2,23,0.0869565217391304,0.0107099660378758,0.2803793359094109
ZENODO_10369064,SNP_CLUSTER_03,marker_positive_resistance,13,14,0.9285714285714286,0.6613155100681788,0.9981932193408746
