dataset_id,strain,biosample,assembly_accession,genbank_accession,refseq_accession,wgs_accession,assembly_level,coverage,contig_n50,total_length,ftp_genbank,ftp_refseq
HPGP_GLOBAL,HpGP-FRA-016,SAMN12231838,GCA_035185365.1,GCA_035185365.1,,,Complete Genome,621,1635235,1635235,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/365/GCA_035185365.1_ASM3518536v1,
HPGP_GLOBAL,HpGP-FRA-017,SAMN12231934,GCA_035185345.1,GCA_035185345.1,,,Complete Genome,839,1650093,1650093,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/185/345/GCA_035185345.1_ASM3518534v1,
HPGP_GLOBAL,HpGP-FRA-019,SAMN12231979,GCA_035184985.1,GCA_035184985.1,,,Complete Genome,1133,1644820,1644820,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/985/GCA_035184985.1_ASM3518498v1,
HPGP_GLOBAL,HpGP-FRA-020,SAMN12232030,GCA_035184965.1,GCA_035184965.1,,,Complete Genome,1228,1624748,1624748,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/965/GCA_035184965.1_ASM3518496v1,
HPGP_GLOBAL,HpGP-GRE-001,SAMN11302841,GCA_035184945.1,GCA_035184945.1,,,Complete Genome,882,1655996,1655996,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/945/GCA_035184945.1_ASM3518494v1,
HPGP_GLOBAL,HpGP-GRE-002,SAMN11302842,GCA_035184925.1,GCA_035184925.1,,,Complete Genome,781,1647274,1647274,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/925/GCA_035184925.1_ASM3518492v1,
HPGP_GLOBAL,HpGP-GRE-003,SAMN11302843,GCA_035184905.1,GCA_035184905.1,,,Complete Genome,751,1628560,1628560,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/905/GCA_035184905.1_ASM3518490v1,
HPGP_GLOBAL,HpGP-GRE-004,SAMN11302996,GCA_035184885.1,GCA_035184885.1,,,Complete Genome,3932,1589805,1589805,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/885/GCA_035184885.1_ASM3518488v1,
HPGP_GLOBAL,HpGP-GRE-005,SAMN11303174,GCA_035184865.1,GCA_035184865.1,,,Complete Genome,436,1652452,1652452,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/865/GCA_035184865.1_ASM3518486v1,
HPGP_GLOBAL,HpGP-GRE-006,SAMN11302844,GCA_035184845.1,GCA_035184845.1,,,Complete Genome,2781,1631832,1631832,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/845/GCA_035184845.1_ASM3518484v1,
HPGP_GLOBAL,HpGP-GRE-011,SAMN11303317,GCA_035184825.1,GCA_035184825.1,,,Complete Genome,2540,1683019,1683019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/825/GCA_035184825.1_ASM3518482v1,
HPGP_GLOBAL,HpGP-GRE-012,SAMN11303038,GCA_035184805.1,GCA_035184805.1,,,Complete Genome,2252,1588490,1588490,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/805/GCA_035184805.1_ASM3518480v1,
HPGP_GLOBAL,HpGP-GRE-019,SAMN11302846,GCA_035184785.1,GCA_035184785.1,,,Complete Genome,518,1673893,1673893,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/785/GCA_035184785.1_ASM3518478v1,
HPGP_GLOBAL,HpGP-GRE-020,SAMN11303125,GCA_035184725.1,GCA_035184725.1,,,Complete Genome,694,1592179,1592179,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/725/GCA_035184725.1_ASM3518472v1,
HPGP_GLOBAL,HpGP-GRE-036,SAMN11303266,GCA_035184705.1,GCA_035184705.1,,,Complete Genome,1728,1592255,1592255,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/705/GCA_035184705.1_ASM3518470v1,
HPGP_GLOBAL,HpGP-HON-001,SAMN11306326,GCA_035184685.1,GCA_035184685.1,,,Complete Genome,150,1633579,1633579,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/685/GCA_035184685.1_ASM3518468v1,
HPGP_GLOBAL,HpGP-HON-002,SAMN11308115,GCA_035184665.1,GCA_035184665.1,,,Complete Genome,150,1625340,1625340,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/665/GCA_035184665.1_ASM3518466v1,
HPGP_GLOBAL,HpGP-HON-003,SAMN11305542,GCA_035184645.1,GCA_035184645.1,,,Complete Genome,1569,1685063,1685063,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/645/GCA_035184645.1_ASM3518464v1,
HPGP_GLOBAL,HpGP-HON-004,SAMN11305543,GCA_035184625.1,GCA_035184625.1,,,Complete Genome,755,1630226,1630226,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/625/GCA_035184625.1_ASM3518462v1,
HPGP_GLOBAL,HpGP-HON-005,SAMN11307875,GCA_035184605.1,GCA_035184605.1,,,Complete Genome,744,1668680,1668680,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/605/GCA_035184605.1_ASM3518460v1,
HPGP_GLOBAL,HpGP-HON-006,SAMN11305544,GCA_035184585.1,GCA_035184585.1,,,Complete Genome,2465,1661292,1661292,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/585/GCA_035184585.1_ASM3518458v1,
HPGP_GLOBAL,HpGP-HON-007,SAMN11305545,GCA_035184565.1,GCA_035184565.1,,,Complete Genome,906,1685659,1685659,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/565/GCA_035184565.1_ASM3518456v1,
HPGP_GLOBAL,HpGP-HON-009,SAMN11305546,GCA_035184545.1,GCA_035184545.1,,,Complete Genome,3039,1626855,1626855,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/545/GCA_035184545.1_ASM3518454v1,
HPGP_GLOBAL,HpGP-HON-010,SAMN11308191,GCA_035184525.1,GCA_035184525.1,,,Complete Genome,722,1665705,1665705,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/525/GCA_035184525.1_ASM3518452v1,
HPGP_GLOBAL,HpGP-HON-011,SAMN11305547,GCA_035184505.1,GCA_035184505.1,,,Complete Genome,3328,1610847,1610847,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/505/GCA_035184505.1_ASM3518450v1,
HPGP_GLOBAL,HpGP-HON-012,SAMN11308306,GCA_035184485.1,GCA_035184485.1,,,Complete Genome,820,1607767,1607767,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/485/GCA_035184485.1_ASM3518448v1,
HPGP_GLOBAL,HpGP-HON-013,SAMN11305548,GCA_035184465.1,GCA_035184465.1,,,Complete Genome,1155,1652401,1652401,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/465/GCA_035184465.1_ASM3518446v1,
HPGP_GLOBAL,HpGP-HON-014,SAMN12276370,GCA_035184445.1,GCA_035184445.1,,,Complete Genome,850,1696080,1696080,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/445/GCA_035184445.1_ASM3518444v1,
HPGP_GLOBAL,HpGP-HON-015,SAMN11305549,GCA_035184425.1,GCA_035184425.1,,,Complete Genome,2169,1612896,1612896,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/425/GCA_035184425.1_ASM3518442v1,
HPGP_GLOBAL,HpGP-HON-016,SAMN11308017,GCA_035184405.1,GCA_035184405.1,,,Complete Genome,762,1628975,1628975,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/405/GCA_035184405.1_ASM3518440v1,
HPGP_GLOBAL,HpGP-HON-017,SAMN11305550,GCA_035184385.1,GCA_035184385.1,,,Complete Genome,1249,1640975,1640975,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/385/GCA_035184385.1_ASM3518438v1,
HPGP_GLOBAL,HpGP-HON-018,SAMN11305551,GCA_035184365.1,GCA_035184365.1,,,Complete Genome,1000,1644126,1644126,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/365/GCA_035184365.1_ASM3518436v1,
HPGP_GLOBAL,HpGP-HON-019,SAMN11305552,GCA_035184345.1,GCA_035184345.1,,,Complete Genome,880,1652372,1652372,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/345/GCA_035184345.1_ASM3518434v1,
HPGP_GLOBAL,HpGP-HON-020,SAMN11305553,GCA_035184325.1,GCA_035184325.1,,,Complete Genome,1949,1632447,1632447,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/325/GCA_035184325.1_ASM3518432v1,
HPGP_GLOBAL,HpGP-HON-021,SAMN11305554,GCA_035184305.1,GCA_035184305.1,,,Complete Genome,150,1687777,1687777,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/305/GCA_035184305.1_ASM3518430v1,
HPGP_GLOBAL,HpGP-HON-023,SAMN11307949,GCA_035184285.1,GCA_035184285.1,,,Complete Genome,813,1616582,1616582,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/285/GCA_035184285.1_ASM3518428v1,
HPGP_GLOBAL,HpGP-HON-024,SAMN11305555,GCA_035184265.1,GCA_035184265.1,,,Complete Genome,889,1586336,1586336,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/265/GCA_035184265.1_ASM3518426v1,
HPGP_GLOBAL,HpGP-HON-025,SAMN11308269,GCA_035184245.1,GCA_035184245.1,,,Complete Genome,1015,1678645,1678645,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/245/GCA_035184245.1_ASM3518424v1,
HPGP_GLOBAL,HpGP-HON-026,SAMN11305556,GCA_035184205.1,GCA_035184205.1,,,Complete Genome,150,1621856,1621856,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/205/GCA_035184205.1_ASM3518420v1,
HPGP_GLOBAL,HpGP-HON-027,SAMN11305674,GCA_035184185.1,GCA_035184185.1,,,Complete Genome,150,1595943,1595943,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/185/GCA_035184185.1_ASM3518418v1,
HPGP_GLOBAL,HpGP-HON-028,SAMN12276371,GCA_035184165.1,GCA_035184165.1,,,Complete Genome,150,1727168,1727168,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/165/GCA_035184165.1_ASM3518416v1,
HPGP_GLOBAL,HpGP-ITA-001,SAMN12232207,GCA_035184145.1,GCA_035184145.1,,,Complete Genome,846,1591443,1591443,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/145/GCA_035184145.1_ASM3518414v1,
HPGP_GLOBAL,HpGP-ITA-002,SAMN12232220,GCA_035184125.1,GCA_035184125.1,,,Complete Genome,1098,1622199,1622199,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/125/GCA_035184125.1_ASM3518412v1,
HPGP_GLOBAL,HpGP-ITA-003,SAMN12232221,GCA_035184105.1,GCA_035184105.1,,,Complete Genome,814,1614725,1614725,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/105/GCA_035184105.1_ASM3518410v1,
HPGP_GLOBAL,HpGP-ITA-004,SAMN12232222,GCA_035184085.1,GCA_035184085.1,,,Complete Genome,870,1633683,1633683,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/085/GCA_035184085.1_ASM3518408v1,
HPGP_GLOBAL,HpGP-ITA-005,SAMN12232223,GCA_035184065.1,GCA_035184065.1,,,Complete Genome,1344,1616208,1616208,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/065/GCA_035184065.1_ASM3518406v1,
HPGP_GLOBAL,HpGP-ITA-006,SAMN12232270,GCA_035184045.1,GCA_035184045.1,,,Complete Genome,1611,1592030,1592030,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/045/GCA_035184045.1_ASM3518404v1,
HPGP_GLOBAL,HpGP-ITA-007,SAMN12232277,GCA_035184025.1,GCA_035184025.1,,,Complete Genome,1190,1612055,1612055,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/025/GCA_035184025.1_ASM3518402v1,
HPGP_GLOBAL,HpGP-ITA-008,SAMN12232279,GCA_035184005.1,GCA_035184005.1,,,Complete Genome,725,1607997,1607997,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/184/005/GCA_035184005.1_ASM3518400v1,
HPGP_GLOBAL,HpGP-ITA-009,SAMN12232280,GCA_035183985.1,GCA_035183985.1,,,Complete Genome,666,1689382,1689382,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/985/GCA_035183985.1_ASM3518398v1,
HPGP_GLOBAL,HpGP-ITA-010,SAMN12232281,GCA_035183965.1,GCA_035183965.1,,,Complete Genome,1345,1617268,1617268,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/965/GCA_035183965.1_ASM3518396v1,
HPGP_GLOBAL,HpGP-ITA-011,SAMN12232282,GCA_035183945.1,GCA_035183945.1,,,Complete Genome,1112,1569490,1569490,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/945/GCA_035183945.1_ASM3518394v1,
HPGP_GLOBAL,HpGP-ITA-012,SAMN12232283,GCA_035183925.1,GCA_035183925.1,,,Complete Genome,1499,1629571,1629571,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/925/GCA_035183925.1_ASM3518392v1,
HPGP_GLOBAL,HpGP-FRA-015,SAMN12231782,GCA_035183905.1,GCA_035183905.1,,,Complete Genome,1058,1673169,1673169,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/905/GCA_035183905.1_ASM3518390v1,
HPGP_GLOBAL,HpGP-GTM-004,SAMN19999412,GCA_035183885.1,GCA_035183885.1,,,Chromosome,3741,940822,1717839,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/885/GCA_035183885.1_ASM3518388v1,
HPGP_GLOBAL,HpGP-GRE-008,SAMN11302845,GCA_035183865.1,GCA_035183865.1,,,Chromosome,4948,1437557,1672291,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/865/GCA_035183865.1_ASM3518386v1,
HPGP_GLOBAL,HpGP-FRA-004,SAMN12231245,GCA_035183845.1,GCA_035183845.1,,,Chromosome,770,1088653,1605735,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/845/GCA_035183845.1_ASM3518384v1,
HPGP_GLOBAL,HpGP-ITA-013,SAMN12232284,GCA_035183825.1,GCA_035183825.1,,,Complete Genome,1049,1617418,1617418,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/825/GCA_035183825.1_ASM3518382v1,
HPGP_GLOBAL,HpGP-ITA-014,SAMN12232291,GCA_035183805.1,GCA_035183805.1,,,Complete Genome,1173,1683999,1683999,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/805/GCA_035183805.1_ASM3518380v1,
HPGP_GLOBAL,HpGP-ITA-015,SAMN12232296,GCA_035183785.1,GCA_035183785.1,,,Complete Genome,1197,1673871,1673871,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/785/GCA_035183785.1_ASM3518378v1,
HPGP_GLOBAL,HpGP-ITA-016,SAMN12232303,GCA_035183765.1,GCA_035183765.1,,,Complete Genome,1195,1643630,1643630,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/765/GCA_035183765.1_ASM3518376v1,
HPGP_GLOBAL,HpGP-ITA-017,SAMN12232302,GCA_035183745.1,GCA_035183745.1,,,Complete Genome,1128,1648455,1648455,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/745/GCA_035183745.1_ASM3518374v1,
HPGP_GLOBAL,HpGP-ITA-018,SAMN12232346,GCA_035183725.1,GCA_035183725.1,,,Complete Genome,1572,1689782,1689782,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/725/GCA_035183725.1_ASM3518372v1,
HPGP_GLOBAL,HpGP-ITA-019,SAMN12232347,GCA_035183705.1,GCA_035183705.1,,,Complete Genome,1313,1684588,1684588,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/705/GCA_035183705.1_ASM3518370v1,
HPGP_GLOBAL,HpGP-ITA-020,SAMN12232348,GCA_035183685.1,GCA_035183685.1,,,Complete Genome,1108,1641286,1641286,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/685/GCA_035183685.1_ASM3518368v1,
HPGP_GLOBAL,HpGP-ITA-022,SAMN12232349,GCA_035183665.1,GCA_035183665.1,,,Complete Genome,1277,1644985,1644985,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/665/GCA_035183665.1_ASM3518366v1,
HPGP_GLOBAL,HpGP-ITA-023,SAMN12232351,GCA_035183645.1,GCA_035183645.1,,,Complete Genome,1500,1672996,1672996,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/645/GCA_035183645.1_ASM3518364v1,
HPGP_GLOBAL,HpGP-ITA-024,SAMN12232352,GCA_035183625.1,GCA_035183625.1,,,Complete Genome,1019,1644570,1644570,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/625/GCA_035183625.1_ASM3518362v1,
HPGP_GLOBAL,HpGP-ITA-026,SAMN12232354,GCA_035183605.1,GCA_035183605.1,,,Complete Genome,1696,1664760,1664760,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/605/GCA_035183605.1_ASM3518360v1,
HPGP_GLOBAL,HpGP-ITA-025,SAMN12232353,GCA_035183585.1,GCA_035183585.1,,,Complete Genome,1063,1585545,1585545,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/585/GCA_035183585.1_ASM3518358v1,
HPGP_GLOBAL,HpGP-ITA-027,SAMN12232359,GCA_035183565.1,GCA_035183565.1,,,Complete Genome,2681,1657711,1657711,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/565/GCA_035183565.1_ASM3518356v1,
HPGP_GLOBAL,HpGP-ITA-028,SAMN12232360,GCA_035183545.1,GCA_035183545.1,,,Complete Genome,2374,1620196,1620196,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/545/GCA_035183545.1_ASM3518354v1,
HPGP_GLOBAL,HpGP-ITA-029,SAMN12232361,GCA_035183525.1,GCA_035183525.1,,,Complete Genome,1393,1619028,1619028,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/525/GCA_035183525.1_ASM3518352v1,
HPGP_GLOBAL,HpGP-ITA-030,SAMN12275542,GCA_035183505.1,GCA_035183505.1,,,Complete Genome,1970,1624989,1624989,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/505/GCA_035183505.1_ASM3518350v1,
HPGP_GLOBAL,HpGP-JAP-002,SAMN11308805,GCA_035183485.1,GCA_035183485.1,,,Complete Genome,1105,1562309,1562309,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/485/GCA_035183485.1_ASM3518348v1,
HPGP_GLOBAL,HpGP-JAP-009,SAMN11308806,GCA_035183465.1,GCA_035183465.1,,,Complete Genome,1001,1621311,1621311,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/465/GCA_035183465.1_ASM3518346v1,
HPGP_GLOBAL,HpGP-JAP-010,SAMN11308807,GCA_035183445.1,GCA_035183445.1,,,Complete Genome,1692,1574397,1574397,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/445/GCA_035183445.1_ASM3518344v1,
HPGP_GLOBAL,HpGP-JAP-012,SAMN11308808,GCA_035183425.1,GCA_035183425.1,,,Complete Genome,840,1578055,1578055,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/425/GCA_035183425.1_ASM3518342v1,
HPGP_GLOBAL,HpGP-JAP-013,SAMN11309248,GCA_035183405.1,GCA_035183405.1,,,Complete Genome,1236,1602993,1602993,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/405/GCA_035183405.1_ASM3518340v1,
HPGP_GLOBAL,HpGP-JAP-015,SAMN11308809,GCA_035183385.1,GCA_035183385.1,,,Complete Genome,1059,1584499,1584499,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/385/GCA_035183385.1_ASM3518338v1,
HPGP_GLOBAL,HpGP-JAP-016,SAMN11309075,GCA_035183365.1,GCA_035183365.1,,,Complete Genome,1167,1611534,1611534,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/365/GCA_035183365.1_ASM3518336v1,
HPGP_GLOBAL,HpGP-JAP-017,SAMN11308810,GCA_035183345.1,GCA_035183345.1,,,Complete Genome,1792,1646976,1646976,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/345/GCA_035183345.1_ASM3518334v1,
HPGP_GLOBAL,HpGP-JAP-019,SAMN11308928,GCA_035183325.1,GCA_035183325.1,,,Complete Genome,1111,1576864,1576864,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/325/GCA_035183325.1_ASM3518332v1,
HPGP_GLOBAL,HpGP-JAP-021,SAMN11308811,GCA_035183305.1,GCA_035183305.1,,,Complete Genome,812,1555891,1555891,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/305/GCA_035183305.1_ASM3518330v1,
HPGP_GLOBAL,HpGP-JAP-022,SAMN11309113,GCA_035183285.1,GCA_035183285.1,,,Complete Genome,1065,1572869,1572869,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/285/GCA_035183285.1_ASM3518328v1,
HPGP_GLOBAL,HpGP-JAP-026,SAMN11309199,GCA_035183265.1,GCA_035183265.1,,,Complete Genome,1037,1573045,1573045,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/183/265/GCA_035183265.1_ASM3518326v1,
